固定メモ
細菌数、大腸菌群、黄色ブドウ球菌、サルモネラ
細菌数、大腸菌（E..coli)
大丸松坂屋平成25年お中元
大丸松坂屋平成25年お歳暮
平成26年迎春大丸松坂屋おせち料理
大丸心斎橋店より抽出　受入収支
大丸梅田店より抽出　受入収支
大丸京都店より抽出　受入収支
大丸神戸店より抽出　受入収支
011　ATR　LIVE　LAB. WEST
（内消費税￥）　相互計算
