No,target_month,customer_id,customer_disp_name,balance_money,sales_money,credit_money,first_balance_money,other
162,201306,,セイウ株式会社,52500,52500,42000,42000,
163,201306,,立花エンターテインメント・ワン株式会社,52500,52500,199500,199500,
164,201306,,株式会社ロックフィールド,52500,26250,26250,52500,
165,201306,,株式会社ニューロンドン,53550,53550,0,0,
166,201306,,ユーアールエー株式会社,54600,54600,472,472,
167,201306,,株式会社ラピーヌ,63000,63000,63000,63000,
168,201306,,株式会社風の街,63000,63000,0,0,
169,201306,,株式会社ワイ・ヨット,63525,147630,84105,0,
170,201306,,株式会社イノダコーヒ,64942,358942,312375,18375,
171,201306,,株式会社平島食品,68250,68250,26250,26250,
172,201306,,三星商事株式会社,70980,70980,71190,71190,
173,201306,,オーミケンシ株式会社,74655,74655,0,0,
174,201306,,タカナシ販売株式会社,76650,0,0,76650,
175,201306,,杉本食肉産業株式会社,78750,78750,147000,147000,
176,201306,,アゴック株式会社,80010,59850,4200,24360,
177,201306,,新谷株式会社,83265,83265,46830,46830,
178,201306,,株式会社日高食品,84000,84000,90982,90982,
179,201306,,株式会社永楽屋,89250,47250,42000,84000,
180,201306,,株式会社三央,92400,0,49350,141750,
181,201306,,株式会社Ｊ．フロントフーズ,96493,113293,161698,144898,
182,201306,,株式会社東鮓本店,99750,99750,99750,99750,
183,201306,,住商ブランドマネジメント株式会社,105000,105000,175980,175980,
184,201306,,株式会社京はやしや,105000,52500,0,52500,
185,201306,,株式会社三久食品,105000,105000,105000,105000,
186,201306,,株式会社大水直売,105000,105000,105000,105000,
187,201306,,ラケーリジャパン株式会社,105000,42000,52500,115500,
188,201306,,株式会社ＧＳＩクレオス,107625,107625,78750,78750,
189,201306,,株式会社柏木食品衛生事務所,108150,108150,52500,52500,
190,201306,,マキシム・ド・パリ株式会社,110250,110250,543375,543375,
191,201306,,株式会社岡伸,112224,91224,155904,176904,
192,201306,,伊藤ハムフードソリューション株式会社,118860,84000,42000,76860,
193,201306,,株式会社下関大丸,122832,122832,122359,122359,
194,201306,,株式会社向井商店,123510,0,30000,153510,
195,201306,,株式会社タケダレース,124530,124530,45255,45255,
196,201306,,わらびの里株式会社,126000,63000,0,63000,
197,201306,,株式会社ピー・パートナーズ,136500,136500,136500,136500,
198,201306,,株式会社ディンプル,137965,137965,138437,138437,
199,201306,,株式会社メルヘン,141750,141750,105000,105000,
200,201306,,株式会社くらし企画,167475,167475,123375,123375,
201,201306,,株式会社門,168000,136500,21000,52500,
202,201306,,株式会社藤丸,181800,168000,0,13800,
203,201306,,有限会社ショウタニ,182697,76124,0,106573,
204,201306,,高孝物産株式会社,185430,129150,66045,122325,
205,201306,,日本サニパック株式会社,187950,43575,26250,170625,
206,201306,,株式会社日本育児,194775,194775,234675,234675,
207,201306,,藤本食品株式会社,199500,199500,168000,168000,
208,201306,,株式会社アビー,206850,185850,21000,42000,
209,201306,,モリ販売株式会社,210000,105000,105000,210000,
210,201306,,八重洲大地下街商店会,210000,210000,210000,210000,
211,201306,,株式会社みやざき,218400,113400,0,105000,
212,201306,,株式会社ｽﾀｲﾘﾝｸﾞﾗｲﾌﾎｰﾙﾃﾞｨﾝｸﾞｽ,218652,218652,276592,276592,
213,201306,,株式会社京急ショッピングセンター,229628,184270,1083489,1128847,
214,201306,,有限会社イグレックプリュス,237300,237300,141750,141750,
215,201306,,株式会社千趣会,241710,241710,210000,210000,
216,201306,,株式会社堂島スウィーツ,242863,130514,0,112349,
217,201306,,株式会社アズ,253365,253365,1348830,1348830,
218,201306,,株式会社　大和,255990,2320101,3046989,982878,だいわ
219,201306,,株式会社京急百貨店,258437,2820437,3095416,533416,
220,201306,,株式会社アニバーサリー,262500,157500,110250,215250,
221,201306,,株式会社山春,269430,128730,0,140700,
222,201306,,有限会社斉藤音弥商店,273000,136500,0,136500,
223,201306,,株式会社日テレ７,286200,286200,224700,224700,
224,201306,,一広株式会社,296520,131880,274260,438900,
225,201306,,株式会社ＭIＣ,315000,315000,315000,315000,
226,201306,,株式会社大和,315000,315000,315000,315000,やまと
227,201306,,モリト株式会社,317100,317100,0,0,
228,201306,,株式会社大丸松坂屋百貨店浦和パルコ店,322693,160167,215447,377973,
229,201306,,株式会社ポトマック,345450,126000,131250,350700,
230,201306,,株式会社マ・メール,372646,372646,71663,71663,
231,201306,,株式会社大丸松坂屋百貨店大丸山科店,380292,282965,186994,284321,
232,201306,,株式会社博多大丸,429936,429936,420020,420020,
233,201306,,株式会社バーニーズジャパン,431500,431500,391715,391715,
234,201306,,株式会社大丸松坂屋百貨店大丸芦屋店,447224,357932,211406,300698,
235,201306,,株式会社大丸松坂屋百貨店大丸須磨店,469898,294615,641796,817079,
236,201306,,株式会社シャルレ,492450,562674,70224,0,
237,201306,,全日空商事株式会社,525000,525000,294000,294000,
238,201306,,株式会社カドリールニシダ,534114,534114,0,0,
239,201306,,内海産業株式会社,626010,224700,0,401310,
240,201306,,日本テレビ放送網株式会社,630000,619500,577500,588000,
241,201306,,株式会社大丸松坂屋百貨店大丸心斎橋店,838142,412454,843481,1269169,
242,201306,,株式会社大丸松坂屋百貨店大丸神戸店,889177,446952,748618,1190843,
243,201306,,株式会社大丸松坂屋百貨店大丸梅田店,939736,477191,840807,1303352,
